##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
O	8	0	23	6	O	O	0	Z	82	O.3	8	O	O_3	10	12	O.4	55	8
Lp	0	0	63	20	Lp	Lp	0	Z	10	LP	20	Lp	Xx	30	25	ep.1	56	20
C-	6	0	10	0	C	C2	0	C	61	C.2	2	C-3	Xx	2	5	C.4	57	2
C.	6	0	12	0	C	C2	0	C	0	C.2	2	C.3	Xx	2	5	C.3	58	2
NC	7	0	29	9	N	N2	0	N	72	N.2	6	N2	N_2	8	8	N.3	59	6
N2+	7	0	36	9	N	N2	0	N	78	N.2	6	N2	N_2	7	8	N.3	60	6
Z0	0	0	62	0	Du	Du	0	Z	0	Du	26	Xx	Xx	20	25	un.0	61	26
HO	1	0	42	21	H	H	0	H	11	H	13	H	H_HB	15	25	H.1	62	13
H+	1	0	44	5	H	H	0	H	11	H	13	H	H_	15	6	H.0	63	13
HN	1	0	43	23	H	H	0	H	11	H	13	H	H_HB	15	6	H.1	64	13
C3	6	0	3	22	H	H	0	C	64	H	13	C3	C_3	1	5	C.4	65	13
H	1	0	43	28	H	H	0	H	11	H	13	H	H_	15	6	H.1	66	13
Cx	6	0	62	29	C	C	0	C	64	C	1	Xx	Xx	20	5	un.0	67	26
N2	7	0	25	40	N	N2	0	N	72	N	6	N2	N_2	8	8	N.3	68	26
HO	1	0	42	24	O	H	0	O	11	O	13	H	H_HB	15	6	H.1	69	26
W	74	0	62	0	W	W	0	W	744	W	26	W	Xx	20	25	W.0	70	26
Car	6	2	2	2	C	C2	3	C	2	C.ar	3	C2	C_R	3	1	C.R	71	3
Nar	7	2	25	9	N	NPL3	2	N	37	N.ar	11	N2	N_R	8	8	N.R	72	11
Nam	7	2	25	9	N	NPL3	3	N	9	N.am	28	N2	N_2	8	8	N.3	73	28
Na	11	0	25	9	Na	Na	0	Z	9	Na	21	NA	Xx	20	19	Na.6	74	21
K	19	0	0	0	K	K	0	Z	190	K	22	K	Xx	20	19	K.0	75	22
Ca	20	0	0	0	Ca	Ca	0	Z	200	Ca	23	CA	Ca	20	21	Ca.6	76	23
Li	3	0	62	0	Li	LI	0	M	258	Li	26	Li	Li	20	25	Li.0	77	24
Al	13	0	0	0	Al	Al	0	Z	133	Al	25	AL	Al3	20	20	Al.6	78	25
Si	14	0	60	0	Si	Si	4	Z	19	Si	27	SI	Si3	20	24	Si.4	79	27
OCO2	8	0	18	47	O	O	1	O	47	O.co2	32	O2	O_2	11	1	O.3	80	32
C+	6	2	11	30	C	C2	3	C	2	C.cat	33	C2	C_2	2	1	C.3	81	33
O2	8	0	15	41	O	O2	0	O	81	O.2	9	O2	O_2	11	11	O.R	82	9
Pd	46	0	62	464	Pd	Du	0	Z	464	Pd	26	Du	Du	20	25	Pd.0	83	26
Pt	78	0	62	464	Pt	Du	0	Z	464	Pt	26	Pt	Du	20	25	Pt.0	84	26
Ni	28	0	62	0	Ni	Du	0	M	284	Ni	26	Ni	Ni	20	25	Ni.0	85	26
Cu	29	0	62	0	Cu	Du	0	M	000	Cu	26	Cu	Cu	20	25	Cu.0	86	26
N4	7	0	32	39	N	N3+	4	N	79	N.4	31	N3	N_3	5	9	N.4	87	31
Npl	7	2	25	9	N	NPL3	3	N	72	N.pl3N	19	N2	N_2	9	8	N.3	88	19
O-	8	2	20	7	O	O2	0	O	86	O.co2O	9	O2	O_3	26	12	O.R	89	32
C+	6	2	11	30	C	C2	3	C	2	C.catC	33	C2	C_2	2	1	C.3	90	33
O	8	2	20	7	O	O3	0	O	86	O.	9	O3	O_3	26	12	O.3	91	26
C	6	3	3	1	C	C3	4	C	64	C.	1	C3	C_3	1	5	C.4	92	26
V	23	0	62	0	V	Du	0	Z	234	V	0	V	Du	20	25	V.0	93	26
Zn	30	0	62	0	Zn	Zn	0	Z	234	Zn	0	V	Zn	20	25	Zn.0	94	26
Cany	6	0	62	30	C	C	3	C	2	C.	33	C	C	2	1	C.0	95	26
Nany	7	0	62	30	N	N	3	N	2	N.	33	N	N	2	1	N.0	96	26
Oany	8	0	62	30	O	O	3	O	2	O.	33	O	O	2	1	O.0	97	26
Sany	16	0	62	30	S	S	3	S	2	S.	33	S	S	2	1	S.0	98	26
Rar	6	0	62	30	C	C	3	C	2	R.ar	33	C	C	2	1	C.0	99	26
R	6	0	62	30	C	C	3	C	2	R.	33	C	C	2	1	C.0	100	26
Nr	6	0	62	30	C	C	3	C	2	Nr.	33	C	C	2	1	C.0	101	26
